plot.no,sample.id,treatment,plant.height.cm,mass.g,mass.kg,area1.cm2,area2.cm2,area3.cm2,avg.area.cm2,area1.m2,area2.m2,area3.m2,SLA.m2.kg-1,LMA.g.m2,pathogen.infection1,pathogen.infection2,pathogen.infection3,pathogen.sum,final.pathogen
408,408-5,fungicide,71,0.2259,0.0002259,35.402,35.823,35.027,35.41733333,0.35402,0.35823,0.35027,1567.832374,0.637823288,0,0,0,0,0
408,408-6,fungicide,97,0.348,0.000348,57.585,58.042,56.753,57.46,0.57585,0.58042,0.56753,1651.149425,0.605638705,0,0,0,0,0
408,408-7,fungicide,127,0.483,0.000483,79.967,80.18,78.399,79.51533333,0.79967,0.8018,0.78399,1646.280193,0.607430013,0,0,0,0,0
409,409-1,innoculation,90,0.186,0.000186,28.068,28.275,27.647,27.99666667,0.28068,0.28275,0.27647,1505.197133,0.664364805,1,1,1,3,1
409,409-2,innoculation,129,0.3287,0.0003287,58.187,58.253,53.383,56.60766667,0.58187,0.58253,0.53383,1722.168137,0.580663397,1,1,1,3,1
409,409-3,innoculation,64,0.1623,0.0001623,25.541,25.744,23.592,24.959,0.25541,0.25744,0.23592,1537.831177,0.650266437,0,1,0,1,0
409,409-4,innoculation,103,0.3831,0.0003831,72.211,72.367,66.317,70.29833333,0.72211,0.72367,0.66317,1834.986514,0.544963133,0,0,0,0,0
409,409-5,innoculation,114,0.2285,0.0002285,42.512,42.821,39.241,41.52466667,0.42512,0.42821,0.39241,1817.272064,0.550275338,1,1,0,2,0
409,409-6,innoculation,87,0.3258,0.0003258,54.905,55.114,50.507,53.50866667,0.54905,0.55114,0.50507,1642.377737,0.608873329,1,1,1,3,1
409,409-7,innoculation,63,0.1986,0.0001986,31.353,31.764,29.109,30.742,0.31353,0.31764,0.29109,1547.935549,0.646021729,1,1,1,3,1
310,310-1,innoculation,75,0.3054,0.0003054,46.236,46.278,45.25,45.92133333,0.46236,0.46278,0.4525,1503.645492,0.665050376,1,1,1,3,1
310,310-2,innoculation,129,0.4011,0.0004011,69.808,69.881,68.329,69.33933333,0.69808,0.69881,0.68329,1728.729328,0.578459556,1,1,1,3,1
310,310-3,innoculation,86,0.1894,0.0001894,34.253,34.673,33.903,34.27633333,0.34253,0.34673,0.33903,1809.732489,0.552567855,0,0,0,0,0
310,310-4,innoculation,122,0.2421,0.0002421,52.038,52.15,50.992,51.72666667,0.52038,0.5215,0.50992,2136.582679,0.468037118,0,1,0,1,0
310,310-5,innoculation,106,0.2419,0.0002419,40.567,40.729,39.825,40.37366667,0.40567,0.40729,0.39825,1669.023012,0.599152913,1,1,1,3,1
310,310-6,innoculation,125,0.2463,0.0002463,47.169,47.262,46.197,46.876,0.47169,0.47262,0.46197,1903.207471,0.525428791,1,1,0,2,0
310,310-7,innoculation,115,0.3337,0.0003337,58.414,58.403,57.106,57.97433333,0.58414,0.58403,0.57106,1737.318949,0.575599547,1,1,1,3,1
