treatment,plot.no,sample.id,total.bac
natural,207,207-6,0
natural,207,207-6,0
natural,207,207-6,1
natural,207,207-6,1
natural,207,207-6,0
natural,207,207-7,0
natural,207,207-7,0
natural,207,207-7,1
natural,207,207-7,1
natural,207,207-7,1
natural,207,207-7,1
natural,207,207-7,0
natural,207,207-7,1
natural,207,207-7,1
natural,207,207-7,0
natural,207,207-7,0
natural,207,207-7,1
natural,207,207-7,0
natural,207,207-7,1
natural,207,207-7,1
natural,207,207-7,0
innoculation,210,210-1,1
innoculation,210,210-1,0
innoculation,210,210-1,1
innoculation,210,210-1,0
innoculation,210,210-1,0
innoculation,210,210-1,0
innoculation,210,210-1,0
innoculation,210,210-1,0
innoculation,210,210-1,1
innoculation,210,210-1,1
innoculation,210,210-1,0
innoculation,210,210-1,0
innoculation,210,210-1,0
innoculation,210,210-1,0
innoculation,210,210-1,0
innoculation,210,210-1,1
innoculation,210,210-2,0
innoculation,210,210-2,0
innoculation,210,210-2,0
innoculation,210,210-2,0
innoculation,210,210-2,0
innoculation,210,210-2,0
innoculation,210,210-2,1
innoculation,210,210-2,0
innoculation,210,210-2,0
innoculation,210,210-2,1
innoculation,210,210-2,1
innoculation,210,210-2,0
innoculation,210,210-2,0
innoculation,210,210-2,0
innoculation,210,210-2,0
innoculation,210,210-2,0
innoculation,210,210-2,0
innoculation,210,210-3,0
innoculation,210,210-3,0
innoculation,210,210-3,0
innoculation,210,210-3,0
innoculation,210,210-3,0
innoculation,210,210-3,0
innoculation,210,210-3,0
innoculation,210,210-3,0
innoculation,210,210-3,0
innoculation,210,210-3,0
innoculation,210,210-3,1
innoculation,210,210-3,0
innoculation,210,210-3,1
innoculation,210,210-3,0
innoculation,210,210-3,0
innoculation,210,210-3,0
innoculation,210,210-4,0
innoculation,210,210-4,0
innoculation,210,210-4,0
innoculation,210,210-4,1
innoculation,210,210-4,0
innoculation,210,210-4,0
innoculation,210,210-4,0
innoculation,210,210-4,0
innoculation,210,210-4,0
innoculation,210,210-4,0
innoculation,210,210-4,0
innoculation,210,210-4,0
innoculation,210,210-4,0
innoculation,210,210-4,0
innoculation,210,210-4,0
innoculation,210,210-4,0
innoculation,210,210-4,1
innoculation,210,210-5,1
innoculation,210,210-5,0
innoculation,210,210-5,1
innoculation,210,210-5,0
innoculation,210,210-5,0
innoculation,210,210-5,1
innoculation,210,210-5,0
innoculation,210,210-5,0
innoculation,210,210-5,0
innoculation,210,210-5,0
innoculation,210,210-5,0
innoculation,210,210-5,1
innoculation,210,210-5,0
innoculation,210,210-5,0
innoculation,210,210-5,0
innoculation,210,210-5,0
innoculation,210,210-5,1
innoculation,210,210-6,1
innoculation,210,210-6,1
innoculation,210,210-6,0
innoculation,210,210-6,0
innoculation,210,210-6,0
innoculation,210,210-6,0
innoculation,210,210-6,0
innoculation,210,210-6,0
innoculation,210,210-6,0
innoculation,210,210-6,0
innoculation,210,210-6,1
innoculation,210,210-6,0
innoculation,210,210-6,0
innoculation,210,210-6,0
innoculation,210,210-6,1
innoculation,210,210-6,0
innoculation,210,210-7,0
innoculation,210,210-7,0
innoculation,210,210-7,0
innoculation,210,210-7,0
innoculation,210,210-7,0
innoculation,210,210-7,0
innoculation,210,210-7,0
innoculation,210,210-7,0
innoculation,210,210-7,0
innoculation,210,210-7,0
innoculation,210,210-7,0
innoculation,210,210-7,0
innoculation,210,210-7,0
innoculation,210,210-7,0
innoculation,210,210-7,1
innoculation,210,210-7,0
fungicide,303,303-1,0
fungicide,303,303-1,0
fungicide,303,303-1,0
fungicide,303,303-1,0
fungicide,303,303-1,0
fungicide,303,303-1,0
fungicide,303,303-1,0
fungicide,303,303-1,0
fungicide,303,303-1,1
fungicide,303,303-1,0
fungicide,303,303-1,0
fungicide,303,303-1,0
fungicide,303,303-1,0
fungicide,303,303-1,0
fungicide,303,303-1,1
fungicide,303,303-1,1
fungicide,303,303-2,1
fungicide,303,303-2,0
fungicide,303,303-2,0
fungicide,303,303-2,0
fungicide,303,303-2,0
fungicide,303,303-2,0
fungicide,303,303-2,0
fungicide,303,303-2,0
fungicide,303,303-2,0
fungicide,303,303-2,0
fungicide,303,303-2,0
fungicide,303,303-2,0
fungicide,303,303-2,0
fungicide,303,303-2,0
fungicide,303,303-2,0
fungicide,303,303-2,0
fungicide,303,303-3,0
fungicide,303,303-3,0
fungicide,303,303-3,0
fungicide,303,303-3,0
fungicide,303,303-3,0
fungicide,303,303-3,0
fungicide,303,303-3,0
fungicide,303,303-3,0
fungicide,303,303-3,0
fungicide,303,303-3,0
fungicide,303,303-3,0
fungicide,303,303-3,0
fungicide,303,303-3,0
fungicide,303,303-3,1
fungicide,303,303-3,0
fungicide,303,303-3,0
fungicide,303,303-4,0
fungicide,303,303-4,1
fungicide,303,303-4,0
fungicide,303,303-4,0
fungicide,303,303-4,0
fungicide,303,303-4,0
fungicide,303,303-4,0
fungicide,303,303-4,0
fungicide,303,303-4,0
fungicide,303,303-4,0
fungicide,303,303-4,0
fungicide,303,303-4,0
fungicide,303,303-4,0
fungicide,303,303-4,1
fungicide,303,303-4,0
fungicide,303,303-4,0
fungicide,303,303-5,0
fungicide,303,303-5,0
fungicide,303,303-5,0
fungicide,303,303-5,0
fungicide,303,303-5,0
fungicide,303,303-5,0
fungicide,303,303-5,1
fungicide,303,303-5,0
fungicide,303,303-5,0
fungicide,303,303-5,0
fungicide,303,303-5,0
fungicide,303,303-5,1
fungicide,303,303-5,0
fungicide,303,303-5,1
fungicide,303,303-5,0
fungicide,303,303-5,0
fungicide,303,303-6,0
fungicide,303,303-6,1
fungicide,303,303-6,0
fungicide,303,303-6,1
fungicide,303,303-6,0
fungicide,303,303-6,1
fungicide,303,303-6,0
fungicide,303,303-6,0
fungicide,303,303-6,1
fungicide,303,303-6,1
fungicide,303,303-6,0
fungicide,303,303-6,1
fungicide,303,303-6,0
fungicide,303,303-6,1
fungicide,303,303-6,1
fungicide,303,303-6,0
fungicide,303,303-7,0
fungicide,303,303-7,1
fungicide,303,303-7,0
fungicide,303,303-7,1
fungicide,303,303-7,0
fungicide,303,303-7,0
fungicide,303,303-7,0
fungicide,303,303-7,0
fungicide,303,303-7,0
fungicide,303,303-7,0
fungicide,303,303-7,0
fungicide,303,303-7,0
fungicide,303,303-7,1
fungicide,303,303-7,0
fungicide,303,303-7,0
fungicide,303,303-7,0
natural,308,308-1,0
natural,308,308-1,0
natural,308,308-1,0
natural,308,308-1,0
natural,308,308-1,0
natural,308,308-1,1
natural,308,308-1,1
natural,308,308-1,0
natural,308,308-1,0
natural,308,308-1,0
natural,308,308-1,1
natural,308,308-1,0
natural,308,308-1,0
natural,308,308-1,0
natural,308,308-1,0
natural,308,308-1,0
natural,308,308-2,1
natural,308,308-2,0
natural,308,308-2,0
natural,308,308-2,0
natural,308,308-2,0
natural,308,308-2,0
natural,308,308-2,0
natural,308,308-2,0
natural,308,308-2,0
natural,308,308-2,0
natural,308,308-2,0
natural,308,308-2,0
natural,308,308-2,0
natural,308,308-2,1
natural,308,308-2,0
natural,308,308-2,0
natural,308,308-3,0
natural,308,308-3,0
natural,308,308-3,0
natural,308,308-3,0
natural,308,308-3,0
natural,308,308-3,0
natural,308,308-3,0
natural,308,308-3,0
natural,308,308-3,0
natural,308,308-3,0
natural,308,308-3,0
natural,308,308-3,0
natural,308,308-3,0
natural,308,308-3,0
natural,308,308-3,0
natural,308,308-3,0
natural,308,308-4,1
natural,308,308-4,1
natural,308,308-4,0
natural,308,308-4,1
natural,308,308-4,0
natural,308,308-4,1
natural,308,308-4,0
natural,308,308-4,1
natural,308,308-4,1
natural,308,308-4,0
natural,308,308-4,1
natural,308,308-4,1
natural,308,308-4,1
natural,308,308-4,1
natural,308,308-4,1
natural,308,308-4,0
natural,308,308-5,0
natural,308,308-5,0
natural,308,308-5,1
natural,308,308-5,0
natural,308,308-5,0
natural,308,308-5,0
natural,308,308-5,0
natural,308,308-5,0
natural,308,308-5,0
natural,308,308-5,0
natural,308,308-5,0
natural,308,308-5,0
natural,308,308-5,1
natural,308,308-5,0
natural,308,308-5,0
natural,308,308-5,0
natural,308,308-5,0
natural,308,308-6,0
natural,308,308-6,0
natural,308,308-6,0
natural,308,308-6,0
natural,308,308-6,0
natural,308,308-6,0
natural,308,308-6,0
natural,308,308-6,0
natural,308,308-6,0
natural,308,308-6,0
natural,308,308-6,0
natural,308,308-6,1
natural,308,308-6,0
natural,308,308-6,0
natural,308,308-6,0
natural,308,308-6,1
natural,,308-6,0
natural,308,308-7,0
natural,308,308-7,0
natural,308,308-7,0
natural,308,308-7,0
natural,308,308-7,0
natural,308,308-7,0
natural,308,308-7,0
natural,308,308-7,0
natural,308,308-7,0
natural,308,308-7,0
natural,308,308-7,0
natural,308,308-7,0
natural,308,308-7,0
natural,308,308-7,0
natural,308,308-7,0
natural,308,308-7,0
innoculation,310,310-1,0
innoculation,310,310-1,0
innoculation,310,310-1,0
innoculation,310,310-1,0
innoculation,310,310-1,0
innoculation,310,310-1,0
innoculation,310,310-1,0
innoculation,310,310-1,0
innoculation,310,310-1,0
innoculation,310,310-1,0
innoculation,310,310-1,0
innoculation,310,310-1,0
innoculation,310,310-1,0
innoculation,310,310-1,0
innoculation,310,310-1,0
innoculation,310,310-1,0
innoculation,310,310-1,0
innoculation,310,310-2,0
innoculation,310,310-2,1
innoculation,310,310-2,0
innoculation,310,310-2,0
innoculation,310,310-2,0
innoculation,310,310-2,1
innoculation,310,310-2,0
innoculation,310,310-2,0
innoculation,310,310-2,0
innoculation,310,310-2,1
innoculation,310,310-2,0
innoculation,310,310-2,0
innoculation,310,310-2,0
innoculation,310,310-2,1
innoculation,310,310-2,0
innoculation,310,310-2,0
innoculation,310,310-3,1
innoculation,310,310-3,1
innoculation,310,310-3,0
innoculation,310,310-3,0
innoculation,310,310-3,0
innoculation,310,310-3,0
innoculation,310,310-3,0
innoculation,310,310-3,0
innoculation,310,310-3,0
innoculation,310,310-3,0
innoculation,310,310-3,0
innoculation,310,310-3,0
innoculation,310,310-3,0
innoculation,310,310-3,0
innoculation,310,310-3,0
innoculation,310,310-3,0
innoculation,310,310-3,0
innoculation,310,310-4,0
innoculation,310,310-4,0
innoculation,310,310-4,0
innoculation,310,310-4,0
innoculation,310,310-4,0
innoculation,310,310-4,0
innoculation,310,310-4,0
innoculation,310,310-4,0
innoculation,310,310-4,0
innoculation,310,310-4,0
innoculation,310,310-4,0
innoculation,310,310-4,0
innoculation,310,310-4,0
innoculation,310,310-4,0
innoculation,310,310-4,0
innoculation,310,310-4,0
innoculation,310,310-5,0
innoculation,310,310-5,0
innoculation,310,310-5,0
innoculation,310,310-5,0
innoculation,310,310-5,0
innoculation,310,310-5,0
innoculation,310,310-5,0
innoculation,310,310-5,0
innoculation,310,310-5,0
innoculation,310,310-5,0
innoculation,310,310-5,0
innoculation,310,310-5,0
innoculation,310,310-5,0
innoculation,310,310-5,0
innoculation,310,310-5,0
innoculation,310,310-5,0
innoculation,310,310-6,0
innoculation,310,310-6,1
innoculation,310,310-6,0
innoculation,310,310-6,0
innoculation,310,310-6,0
innoculation,310,310-6,0
innoculation,310,310-6,0
innoculation,310,310-6,0
innoculation,310,310-6,0
innoculation,310,310-6,0
innoculation,310,310-6,0
innoculation,310,310-6,0
innoculation,310,310-6,0
innoculation,310,310-6,0
innoculation,310,310-6,0
innoculation,310,310-6,1
innoculation,310,310-7,0
innoculation,310,310-7,0
innoculation,310,310-7,0
innoculation,310,310-7,0
innoculation,310,310-7,0
innoculation,310,310-7,0
innoculation,310,310-7,0
innoculation,310,310-7,1
innoculation,310,310-7,0
innoculation,310,310-7,0
innoculation,310,310-7,0
innoculation,310,310-7,0
innoculation,310,310-7,0
innoculation,310,310-7,0
innoculation,310,310-7,0
innoculation,310,310-7,0
natural,401,401-1,0
natural,401,401-1,0
natural,401,401-1,0
natural,401,401-1,0
natural,401,401-1,0
natural,401,401-1,0
natural,401,401-1,0
natural,401,401-1,0
natural,401,401-1,0
natural,401,401-1,0
natural,401,401-1,0
natural,401,401-1,0
natural,401,401-1,0
natural,401,401-1,0
natural,401,401-1,0
natural,401,401-1,0
natural,401,401-2,0
natural,401,401-2,0
natural,401,401-2,1
natural,401,401-2,0
natural,401,401-2,0
natural,401,401-2,0
natural,401,401-2,0
natural,401,401-2,0
natural,401,401-2,0
natural,401,401-2,0
natural,401,401-2,0
natural,401,401-2,0
natural,401,401-2,0
natural,401,401-2,0
natural,401,401-2,0
natural,401,401-2,0
natural,401,401-3,0
natural,401,401-3,0
natural,401,401-3,1
natural,401,401-3,0
natural,401,401-3,0
natural,401,401-3,0
natural,401,401-3,1
natural,401,401-3,0
natural,401,401-3,0
natural,401,401-3,0
natural,401,401-3,0
natural,401,401-3,0
natural,401,401-3,0
natural,401,401-3,0
natural,401,401-3,0
natural,401,401-3,0
natural,401,401-4,0
natural,401,401-4,0
natural,401,401-4,0
natural,401,401-4,0
natural,401,401-4,0
natural,401,401-4,0
natural,401,401-4,0
natural,401,401-4,1
natural,401,401-4,0
natural,401,401-4,0
natural,401,401-4,0
natural,401,401-4,0
natural,401,401-4,0
natural,401,401-4,0
natural,401,401-4,0
natural,401,401-4,0
natural,401,401-4,0
natural,401,401-4,0
natural,401,401-5,0
natural,401,401-5,0
natural,401,401-5,0
natural,401,401-5,0
natural,401,401-5,0
natural,401,401-5,0
natural,401,401-5,0
natural,401,401-5,0
natural,401,401-5,1
natural,401,401-5,1
natural,401,401-5,1
natural,401,401-5,0
natural,401,401-5,0
natural,401,401-5,0
natural,401,401-5,1
natural,401,401-5,0
natural,401,401-6,0
natural,401,401-6,0
natural,401,401-6,0
natural,401,401-6,0
natural,401,401-6,0
natural,401,401-6,1
natural,401,401-6,0
natural,401,401-6,0
natural,401,401-6,0
natural,401,401-6,0
natural,401,401-6,0
natural,401,401-6,0
natural,401,401-6,0
natural,401,401-6,0
natural,401,401-6,1
natural,401,401-6,0
natural,401,401-7,0
natural,401,401-7,1
natural,401,401-7,0
natural,401,401-7,0
natural,401,401-7,0
natural,401,401-7,0
natural,401,401-7,0
natural,401,401-7,0
natural,401,401-7,0
natural,401,401-7,1
natural,401,401-7,0
natural,401,401-7,0
natural,401,401-7,0
natural,401,401-7,0
natural,401,401-7,0
natural,401,401-7,1
natural,401,401-7,0
natural,401,401-7,1
fungicide,408,408-1,1
fungicide,408,408-1,0
fungicide,408,408-1,0
